"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при клике на стрелку открывается соответствующий текст.","4586","Открывается ответ на вопрос FAQ №2","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","5254","Открывается ответ на вопрос FAQ №4","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","5197","Открывается ответ на вопрос FAQ №1","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Заполняем форму заказа и проверяем сообщение об успешном создании заказа.","5762","Позитивный заказ через кнопку bottom","tests","2026-09-06","passed","2026-09-06","TestOrder","test_order","",""
"Заполняем форму заказа и проверяем сообщение об успешном создании заказа.","5987","Позитивный заказ через кнопку top","tests","2026-09-06","passed","2026-09-06","TestOrder","test_order","",""
"Заполняем форму заказа и проверяем сообщение об успешном создании заказа.","6265","Позитивный заказ через кнопку bottom","tests","2026-09-06","passed","2026-09-06","TestOrder","test_order","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","5672","Открывается ответ на вопрос FAQ №0","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Заполняем форму заказа и проверяем сообщение об успешном создании заказа.","5981","Позитивный заказ через кнопку top","tests","2026-09-06","passed","2026-09-06","TestOrder","test_order","",""
"","2728","Логотип Самоката ведёт на главную страницу","tests","2026-09-06","passed","2026-09-06","TestNavigation","test_navigation","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","5232","Открывается ответ на вопрос FAQ №7","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","4664","Открывается ответ на вопрос FAQ №5","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"","6149","Логотип Яндекса открывает главную страницу Дзена","tests","2026-09-06","passed","2026-09-06","TestNavigation","test_navigation","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","5046","Открывается ответ на вопрос FAQ №3","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
"Проверяем, что при клике на стрелку открывается соответствующий текст.","4949","Открывается ответ на вопрос FAQ №6","tests","2026-09-06","passed","2026-09-06","TestFAQ","test_faq","",""
